ImageNum, Sigma, DictSize, Iter, PSNR(db), Time, Method
1, 10, 64, 0, 28.13, 0, PALM
1, 10, 64, 1, 33.89, 388.83, PALM
1, 10, 64, 2, 33.89, 330.31, PALM
1, 10, 64, 3, 33.89, 333.66, PALM
1, 10, 64, 4, 33.89, 318.64, PALM
1, 10, 64, 5, 33.89, 283.83, PALM
1, 10, 64, 6, 33.89, 302.45, PALM
1, 10, 64, 7, 33.89, 277.65, PALM
1, 10, 64, 8, 33.89, 308.15, PALM
1, 10, 128, 0, 28.13, 0, PALM
1, 10, 128, 1, 33.86, 1379.28, PALM
1, 10, 128, 2, 33.86, 598.49, PALM
1, 10, 128, 3, 33.86, 591.67, PALM
1, 10, 128, 4, 33.86, 609.28, PALM
1, 10, 128, 5, 33.86, 589.24, PALM
1, 10, 128, 6, 33.86, 620.54, PALM
1, 10, 128, 7, 33.86, 589.04, PALM
1, 10, 128, 8, 33.86, 586.94, PALM
1, 10, 256, 0, 28.13, 0, PALM
1, 10, 256, 1, 33.99, 563.44, PALM
1, 10, 256, 2, 33.99, 614.96, PALM
1, 10, 256, 3, 33.99, 799.00, PALM
1, 10, 256, 4, 33.99, 820.26, PALM
1, 10, 256, 5, 33.99, 744.24, PALM
1, 10, 256, 6, 33.99, 771.86, PALM
1, 10, 256, 7, 33.99, 699.23, PALM
1, 10, 256, 8, 33.99, 610.64, PALM
1, 20, 64, 0, 22.09, 0, PALM
1, 20, 64, 1, 29.91, 389.40, PALM
1, 20, 64, 2, 29.91, 358.13, PALM
1, 20, 64, 3, 29.91, 220.72, PALM
1, 20, 64, 4, 29.91, 242.63, PALM
1, 20, 64, 5, 29.91, 245.26, PALM
1, 20, 64, 6, 29.91, 263.91, PALM
1, 20, 64, 7, 29.91, 251.64, PALM
1, 20, 64, 8, 29.91, 233.39, PALM
1, 20, 128, 0, 22.09, 0, PALM
1, 20, 128, 1, 29.98, 1323.24, PALM
1, 20, 128, 2, 29.98, 575.16, PALM
1, 20, 128, 3, 29.98, 503.82, PALM
1, 20, 128, 4, 29.98, 509.14, PALM
1, 20, 128, 5, 29.98, 404.13, PALM
1, 20, 128, 6, 29.98, 406.56, PALM
1, 20, 128, 7, 29.98, 404.24, PALM
1, 20, 128, 8, 29.98, 421.43, PALM
1, 20, 256, 0, 22.09, 0, PALM
1, 20, 256, 1, 29.97, 373.16, PALM
1, 20, 256, 2, 29.97, 422.87, PALM
1, 20, 256, 3, 29.97, 418.50, PALM
1, 20, 256, 4, 29.97, 414.76, PALM
1, 20, 256, 5, 29.97, 417.73, PALM
1, 20, 256, 6, 29.97, 410.04, PALM
1, 20, 256, 7, 29.97, 405.17, PALM
1, 20, 256, 8, 29.97, 412.99, PALM
1, 50, 64, 0, 14.14, 0, PALM
1, 50, 64, 1, 24.59, 257.96, PALM
1, 50, 64, 2, 24.59, 250.08, PALM
1, 50, 64, 3, 24.59, 244.93, PALM
1, 50, 64, 4, 24.59, 250.59, PALM
1, 50, 64, 5, 24.59, 250.58, PALM
1, 50, 64, 6, 24.59, 243.38, PALM
1, 50, 64, 7, 24.59, 228.68, PALM
1, 50, 64, 8, 24.59, 225.70, PALM
1, 50, 128, 0, 14.14, 0, PALM
1, 50, 128, 1, 24.75, 1127.35, PALM
1, 50, 128, 2, 24.75, 386.81, PALM
1, 50, 128, 3, 24.75, 416.97, PALM
1, 50, 128, 4, 24.75, 410.90, PALM
1, 50, 128, 5, 24.75, 404.27, PALM
1, 50, 128, 6, 24.75, 419.28, PALM
1, 50, 128, 7, 24.75, 414.59, PALM
1, 50, 128, 8, 24.75, 432.26, PALM
1, 50, 256, 0, 14.14, 0, PALM
1, 50, 256, 1, 24.76, 355.28, PALM
1, 50, 256, 2, 24.76, 397.94, PALM
1, 50, 256, 3, 24.76, 401.40, PALM
1, 50, 256, 4, 24.76, 399.77, PALM
1, 50, 256, 5, 24.76, 408.27, PALM
1, 50, 256, 6, 24.76, 401.53, PALM
1, 50, 256, 7, 24.76, 395.93, PALM
1, 50, 256, 8, 24.76, 397.99, PALM
2, 10, 64, 0, 28.14, 0, PALM
2, 10, 64, 1, 33.33, 264.40, PALM
2, 10, 64, 2, 33.33, 233.50, PALM
2, 10, 64, 3, 33.33, 240.92, PALM
2, 10, 64, 4, 33.33, 253.58, PALM
2, 10, 64, 5, 33.33, 227.59, PALM
2, 10, 64, 6, 33.33, 222.72, PALM
2, 10, 64, 7, 33.33, 216.56, PALM
2, 10, 64, 8, 33.33, 210.39, PALM
2, 10, 128, 0, 28.14, 0, PALM
2, 10, 128, 1, 33.20, 1021.73, PALM
2, 10, 128, 2, 33.20, 400.78, PALM
2, 10, 128, 3, 33.20, 403.61, PALM
2, 10, 128, 4, 33.20, 405.70, PALM
2, 10, 128, 5, 33.20, 405.45, PALM
2, 10, 128, 6, 33.20, 411.84, PALM
2, 10, 128, 7, 33.20, 408.72, PALM
2, 10, 128, 8, 33.20, 463.71, PALM
2, 10, 256, 0, 28.14, 0, PALM
2, 10, 256, 1, 33.42, 476.54, PALM
2, 10, 256, 2, 33.42, 620.85, PALM
2, 10, 256, 3, 33.42, 655.63, PALM
2, 10, 256, 4, 33.42, 848.39, PALM
2, 10, 256, 5, 33.42, 822.63, PALM
2, 10, 256, 6, 33.42, 756.28, PALM
2, 10, 256, 7, 33.42, 685.38, PALM
2, 10, 256, 8, 33.42, 650.72, PALM
2, 20, 64, 0, 22.09, 0, PALM
2, 20, 64, 1, 29.86, 352.20, PALM
2, 20, 64, 2, 29.86, 336.63, PALM
2, 20, 64, 3, 29.86, 327.82, PALM
2, 20, 64, 4, 29.86, 325.59, PALM
2, 20, 64, 5, 29.86, 317.06, PALM
2, 20, 64, 6, 29.86, 314.99, PALM
2, 20, 64, 7, 29.86, 305.72, PALM
2, 20, 64, 8, 29.86, 290.87, PALM
2, 20, 128, 0, 22.09, 0, PALM
2, 20, 128, 1, 29.84, 1443.67, PALM
2, 20, 128, 2, 29.84, 513.84, PALM
2, 20, 128, 3, 29.84, 492.75, PALM
2, 20, 128, 4, 29.84, 455.21, PALM
2, 20, 128, 5, 29.84, 450.43, PALM
2, 20, 128, 6, 29.84, 454.11, PALM
2, 20, 128, 7, 29.84, 463.46, PALM
2, 20, 128, 8, 29.84, 458.12, PALM
2, 20, 256, 0, 22.09, 0, PALM
2, 20, 256, 1, 29.89, 432.06, PALM
2, 20, 256, 2, 29.89, 473.37, PALM
2, 20, 256, 3, 29.89, 468.72, PALM
2, 20, 256, 4, 29.89, 471.16, PALM
2, 20, 256, 5, 29.89, 469.43, PALM
2, 20, 256, 6, 29.89, 474.47, PALM
2, 20, 256, 7, 29.89, 480.76, PALM
2, 20, 256, 8, 29.89, 476.52, PALM
2, 50, 64, 0, 14.15, 0, PALM
2, 50, 64, 1, 25.50, 296.47, PALM
2, 50, 64, 2, 25.50, 222.27, PALM
2, 50, 64, 3, 25.50, 222.06, PALM
2, 50, 64, 4, 25.50, 216.15, PALM
2, 50, 64, 5, 25.50, 205.68, PALM
2, 50, 64, 6, 25.50, 202.91, PALM
2, 50, 64, 7, 25.50, 206.67, PALM
2, 50, 64, 8, 25.50, 195.35, PALM
2, 50, 128, 0, 14.15, 0, PALM
2, 50, 128, 1, 25.56, 1204.54, PALM
2, 50, 128, 2, 25.56, 393.05, PALM
2, 50, 128, 3, 25.56, 368.99, PALM
2, 50, 128, 4, 25.56, 362.30, PALM
2, 50, 128, 5, 25.56, 365.98, PALM
2, 50, 128, 6, 25.56, 370.52, PALM
2, 50, 128, 7, 25.56, 374.80, PALM
2, 50, 128, 8, 25.56, 377.70, PALM
2, 50, 256, 0, 14.15, 0, PALM
2, 50, 256, 1, 25.55, 339.83, PALM
2, 50, 256, 2, 25.55, 376.52, PALM
2, 50, 256, 3, 25.55, 373.91, PALM
2, 50, 256, 4, 25.55, 373.56, PALM
2, 50, 256, 5, 25.55, 375.03, PALM
2, 50, 256, 6, 25.55, 372.93, PALM
2, 50, 256, 7, 25.55, 372.58, PALM
2, 50, 256, 8, 25.55, 376.23, PALM
